Name,Months
"Accommodation units in caravan/tourist parks being articles, not fixtures, and used for a specified purpose: Relocatable homes and tourist park cabins constructed with chassis",240
"Accommodation units in caravan/tourist parks being articles, not fixtures, and used for a specified purpose: Other accommodation units (e.g. manufactured homes)",360
Additive manufacturing printers (including 3D printers),36
Advertising signs: Billboard assets: Billboard lighting: HID/Metal halide lighting systems,60
Advertising signs: Billboard assets: Billboard lighting: LED lighting systems (including solar powered LED lighting systems),120
"Advertising signs: Billboard assets: Billboard steel structures (incorporating electrical systems, footings, scaffolding and walking platforms and steel frame sign panels)",240
Advertising signs: Billboard assets: Digital LED screens,72
Advertising signs: Billboard assets: Electronic message centre (EMC) units,36
Advertising signs: Billboard assets: Mobile billboard assets: Digital LED screens,48
Advertising signs: Floor mounted internal advertising panels (used in airports and shopping centres etc),84
Advertising signs: Kiosks and other external standalone advertising panel structures,180
Advertising signs: LED advertising screens (used in office tower foyers etc),60
"Advertising signs: Wall mounted advertising panels (used in airports, rail concourses and platforms, shopping centres etc): Digital LED advertising panels",60
"Advertising signs: Wall mounted advertising panels (used in airports, rail concourses and platforms, shopping centres etc): Static advertising panels",120
"Air compression assets: Air compression assets generally (including air compressors, air dryers and air receivers)",180
Air compression assets: Air compressors (portable): Compressors - reciprocating,84
Air compression assets: Air compressors (portable): Compressors - rotary screw,120
"Air-conditioning assets (excluding pipes, duct work and vents): Air handling units",240
"Air-conditioning assets (excluding pipes, duct work and vents): Cooling towers",180
"Air-conditioning assets (excluding pipes, duct work and vents): Condensing sets",180
"Air-conditioning assets (excluding pipes, duct work and vents): Chillers: Absorption",300
"Air-conditioning assets (excluding pipes, duct work and vents): Chillers: Centrifugal",240
"Air-conditioning assets (excluding pipes, duct work and vents): Chillers: Volumetrics (including reciprocating, rotary, screw, scroll): Air-cooled",180
"Air-conditioning assets (excluding pipes, duct work and vents): Chillers: Volumetrics (including reciprocating, rotary, screw, scroll): Water-cooled",240
"Air-conditioning assets (excluding pipes, duct work and vents): Damper motors (including variable air volume box controllers)",120
"Air-conditioning assets (excluding pipes, duct work and vents): Fan coil units (connected to a condensing set)",180
"Air-conditioning assets (excluding pipes, duct work and vents): Humidifiers (steam generator)",120
"Air-conditioning assets (excluding pipes, duct work and vents): Mini split systems up to 20KW (including ceiling, floor and high wall split systems)",120
"Air-conditioning assets (excluding pipes, duct work and vents): Packaged air conditioning units",180
"Air-conditioning assets (excluding pipes, duct work and vents): Pumps",240
"Air-conditioning assets (excluding pipes, duct work and vents): Room units",120
Aircraft: Aeroplanes: General use,240
Aircraft: Aeroplanes: Used predominantly for agricultural spraying or agricultural dusting,120
Aircraft: Helicopters: General use,240
"Aircraft: Helicopters: Used predominantly for mustering, agricultural spraying or agricultural dusting",120
"Airless sprayers (used in painting, epoxy and polyurethane coating, priming etc): Electrically and petrol-driven units",84
"Airless sprayers (used in painting, epoxy and polyurethane coating, priming etc): Pneumatically-driven units",180
"Artworks qualifying as depreciating assets (restricted to works of art and reproductions of artwork that are tangible in nature, such as paintings, sculptures, drawings, engravings and photographs, that are displayed in open viewing areas in premises used for taxable purposes including reception areas, waiting rooms and foyers)",1200
Automated external defibrillators (AEDs),96
Automatic teller machines (ATMs),84
"Bending machines (bar, angle and rod)",120
"Block and brick elevators, portable",120
Boilers,240
Boom gates: Electromechanically operated boom gates,84
