name,wikidata,url,support_url,warranty_lookup_url,notes
Apple,Q312,https://apple.com,https://support.apple.com,https://checkcoverage.apple.com,
Microsoft,Q2283,https://microsoft.com,https://support.microsoft.com,https://account.microsoft.com/devices,
Dell,Q30873,https://dell.com,https://support.dell.com,https://www.dell.com/support/home/en-us/Products/?app=warranty,
Asus,Q152864,https://asus.com,https://support.asus.com,,
HP,Q21404084,https://hp.com,https://support.hp.com,,
Lenovo,Q14799,https://lenovo.com,https://support.lenovo.com,,
LG,Q162345,https://lg.com,https://support.lg.com, ,
Polycom,Q963809,https://polycom.com,https://support.polycom.com,,
Adobe,Q11463,https://adobe.com,https://support.adobe.com,,
Avery,,https://avery.com,https://support.avery.com,,
Crucial,,https://crucial.com,https://support.crucial.com,,
Samsung Electronics,Q20718,https://www.samsung.com,https://www.samsung.com/support/,,
Google,Q95,https://www.google.com,,,
Huawei,Q160120,https://consumer.huawei.com/,,,
Sony,Q41187,https://electronics.sony.com,,,
Acer,Q481778,,,,
Advan,,,,,
Alienware,,,,,
Casper,,,,,
Chuwi,,,,,
Clevo,,,,,
Corsair,,,,,
CyberPowerPC,,,,,
Digital Storm,,,,,
Doel,,,,,
Dynabook,,,,,
Eurocom,,,,,
Falcon Northwest,,,,,
Framework Computer,,,,,
Fujitsu,,,,,
Getac,,,,,
Gigabyte Technology,,,,,
Hasee,,,,,
Honor,,,,,
Hyundai Technology,,,,,
Infinix Mobile,,,,,
Itel Mobile,,,,,
Jio,,,,,
Lava International,,,,,
Medion,,,,,
Micro-Star International,,,,,
Mouse Computer,,,,,
Monster,,,,,
Multilaser,,,,,
Nokia,,,,,
Origin PC,,,,,
Panasonic,,,,,
Positivo,,,,,
Purism,,,,,
Razer,,,,,
Realme,,,,,
System76,,,,,
Tecno,,,,,
Tsinghua Tongfang,,,,,
Tuxedo Computers,,,,,
UMAX,,,,,
Vaio,,,,,
Vantiva,,,,,
Velocity Micro,,,,,
VIT,,,,,
Walmart,,,,,
Walton,,,,,
Wortmann,,,,,
Xiaomi,,,,,
Xolo,,,,,
